filename,width,height,class,xmin,ymin,xmax,ymax
00013bb4b9ddfbab.jpg,768,1024,Carrot,17,352,146,667
00013bb4b9ddfbab.jpg,768,1024,Carrot,122,309,254,597
0022d08b808c7af6.jpg,1024,679,Tomato,0,484,10,506
0022d08b808c7af6.jpg,1024,679,Tomato,0,611,11,632
0022d08b808c7af6.jpg,1024,679,Tomato,0,531,20,576
0022d08b808c7af6.jpg,1024,679,Tomato,0,499,33,550
0022d08b808c7af6.jpg,1024,679,Tomato,0,575,36,620
0022d08b808c7af6.jpg,1024,679,Tomato,0,485,115,644
0022d08b808c7af6.jpg,1024,679,Tomato,5,539,37,586
0022d08b808c7af6.jpg,1024,679,Tomato,28,526,72,570
0022d08b808c7af6.jpg,1024,679,Tomato,31,585,52,609
0022d08b808c7af6.jpg,1024,679,Tomato,70,533,94,575
0022d08b808c7af6.jpg,1024,679,Tomato,92,555,115,572
0031d1537b2e3dd6.jpg,1024,768,Carrot,0,0,1023,767
0031d1537b2e3dd6.jpg,1024,768,Carrot,269,320,748,767
00341c3c5825fc7e.jpg,1024,1024,Tomato,649,73,829,237
00385794700c832e.jpg,1024,768,Carrot,20,677,512,768
003bfd49a73dae27.jpg,1024,1024,Cabbage,198,0,1022,1022
003f09b07cc748e4.jpg,1024,684,Cabbage,87,398,142,422
0066c082d6e75ff2.jpg,1024,681,Cabbage,83,299,879,664
006c2d7ce878c7ce.jpg,689,1024,Carrot,200,433,331,923
006c2d7ce878c7ce.jpg,689,1024,Carrot,136,123,653,971
00714e843dcac5e3.jpg,1024,1024,Cabbage,26,322,773,995
0084b263c77b57e6.jpg,1024,725,Tomato,411,6,628,283
0084b263c77b57e6.jpg,1024,725,Tomato,418,184,647,478
0084b263c77b57e6.jpg,1024,725,Tomato,571,367,779,627
0084b263c77b57e6.jpg,1024,725,Tomato,609,98,809,369
0084b263c77b57e6.jpg,1024,725,Tomato,734,267,908,508
008c8e7f85dc5fd9.jpg,1024,768,Tomato,166,223,253,302
008c8e7f85dc5fd9.jpg,1024,768,Tomato,217,535,281,586
008c8e7f85dc5fd9.jpg,1024,768,Tomato,275,549,314,602
008c8e7f85dc5fd9.jpg,1024,768,Tomato,400,193,456,251
008c8e7f85dc5fd9.jpg,1024,768,Tomato,439,341,500,394
008c8e7f85dc5fd9.jpg,1024,768,Tomato,720,100,792,173
008c8e7f85dc5fd9.jpg,1024,768,Tomato,806,336,862,379
008c8e7f85dc5fd9.jpg,1024,768,Tomato,876,330,940,399
0096d83bed765696.jpg,495,1024,Carrot,158,95,413,936
009e483fe67bcf00.jpg,1024,768,Cabbage,100,0,1004,767
00af886180e9eaec.jpg,1024,768,Carrot,450,90,886,403
00af886180e9eaec.jpg,1024,768,Carrot,149,491,407,675
00af886180e9eaec.jpg,1024,768,Carrot,385,632,590,754
00af886180e9eaec.jpg,1024,768,Carrot,396,424,487,625
00af886180e9eaec.jpg,1024,768,Carrot,487,455,618,583
00af886180e9eaec.jpg,1024,768,Carrot,526,480,713,613
00af886180e9eaec.jpg,1024,768,Carrot,581,522,762,614
00c2621d95fd4ce8.jpg,683,1024,Tomato,40,353,411,572
00c2621d95fd4ce8.jpg,683,1024,Tomato,70,455,124,490
00ccda615ec9731d.jpg,768,1024,Carrot,0,210,767,1023
00efa9dd5da49dfd.jpg,998,768,Tomato,134,239,329,500
00efa9dd5da49dfd.jpg,998,768,Tomato,213,129,382,375
00efa9dd5da49dfd.jpg,998,768,Tomato,251,401,449,594
00efa9dd5da49dfd.jpg,998,768,Tomato,383,138,680,415
00efa9dd5da49dfd.jpg,998,768,Tomato,458,336,748,622
00efa9dd5da49dfd.jpg,998,768,Tomato,742,306,879,492
010a1558fbb1aadc.jpg,1024,689,Tomato,856,564,1012,679
010a1558fbb1aadc.jpg,1024,689,Tomato,197,356,449,554
010a1558fbb1aadc.jpg,1024,689,Tomato,309,167,513,364
010a1558fbb1aadc.jpg,1024,689,Tomato,653,237,1023,688
0116a6abe3410566.jpg,1024,1024,Carrot,121,391,228,417
011710b4c99c0eee.jpg,1024,1024,Tomato,190,859,252,953
01531acf68805e34.jpg,1024,765,Tomato,716,311,824,437
01531acf68805e34.jpg,1024,765,Tomato,736,412,856,526
0157ddab1d7f6fb6.jpg,1024,665,Tomato,356,341,485,456
015cb66abc80ac0c.jpg,1024,680,Tomato,333,435,645,679
015f76a42ec879f6.jpg,1024,681,Carrot,459,254,750,680
015f76a42ec879f6.jpg,1024,681,Carrot,497,0,1023,479
01753207d3fd157e.jpg,1024,1024,Tomato,665,696,854,941
01753207d3fd157e.jpg,1024,1024,Tomato,832,705,952,920
017fd1fb009322fe.jpg,1024,768,Tomato,182,430,350,581
017fd1fb009322fe.jpg,1024,768,Tomato,326,412,500,597
01969699b5d06c30.jpg,1024,768,Cabbage,188,8,595,451
019a4729783c6272.jpg,1024,768,Cabbage,2,77,846,767
019a4729783c6272.jpg,1024,768,Cabbage,571,0,1023,217
019a4729783c6272.jpg,1024,768,Cabbage,848,163,1023,767
019ad9f1e0fb5423.jpg,1024,768,Tomato,0,2,620,767
019ad9f1e0fb5423.jpg,1024,768,Tomato,427,330,627,508
01a4d6a17c8bfac2.jpg,1024,1024,Carrot,112,379,364,599
01a4d6a17c8bfac2.jpg,1024,1024,Carrot,629,406,712,635
01aa8a57ba69a78b.jpg,1024,576,Tomato,347,342,445,412
01b32dadf81ac313.jpg,1024,768,Carrot,355,136,392,259
01b32dadf81ac313.jpg,1024,768,Carrot,373,76,460,337
01b32dadf81ac313.jpg,1024,768,Carrot,421,111,517,336
01b3a4114e31efcb.jpg,769,1024,Carrot,603,0,768,186
01b42d52eb68ce57.jpg,1024,765,Cabbage,0,0,858,764
01b7c8a3d7bd0888.jpg,1024,768,Tomato,415,417,567,549
01bab6819fb481cc.jpg,1024,1024,Tomato,89,528,721,743
01c3a2bdb6979afa.jpg,1024,768,Tomato,533,440,622,520
01c3a2bdb6979afa.jpg,1024,768,Tomato,599,385,734,511
01c3a2bdb6979afa.jpg,1024,768,Tomato,725,432,776,502
01c97ef479e40619.jpg,1024,768,Carrot,190,509,289,615
01c97ef479e40619.jpg,1024,768,Carrot,259,270,352,439
01c97ef479e40619.jpg,1024,768,Carrot,353,127,460,226
01c97ef479e40619.jpg,1024,768,Carrot,475,416,597,542
01c97ef479e40619.jpg,1024,768,Carrot,556,549,613,593
01c97ef479e40619.jpg,1024,768,Carrot,564,483,661,568
01c97ef479e40619.jpg,1024,768,Carrot,625,557,696,671
01cd9b2d002447bc.jpg,1024,768,Cabbage,78,277,847,727
01d054ab7e63ce04.jpg,1024,768,Cabbage,108,615,723,767
01d43b8c07077b72.jpg,1024,768,Tomato,57,150,355,439
01d43b8c07077b72.jpg,1024,768,Tomato,74,303,455,611
01d43b8c07077b72.jpg,1024,768,Tomato,144,7,441,261
01d43b8c07077b72.jpg,1024,768,Tomato,215,410,707,767
01d43b8c07077b72.jpg,1024,768,Tomato,355,113,657,428
01d43b8c07077b72.jpg,1024,768,Tomato,491,84,714,298
01d43b8c07077b72.jpg,1024,768,Tomato,512,388,752,626
01d43b8c07077b72.jpg,1024,768,Tomato,657,195,990,544
01d97f38554822f7.jpg,1024,768,Tomato,588,125,730,271
01d97f38554822f7.jpg,1024,768,Tomato,657,172,853,316
01d97f38554822f7.jpg,1024,768,Tomato,683,64,885,172
01d97f38554822f7.jpg,1024,768,Tomato,807,81,917,206
01d97f38554822f7.jpg,1024,768,Tomato,841,133,1023,297
01d97f38554822f7.jpg,1024,768,Tomato,921,108,1023,165
01e90d0582aab969.jpg,1024,680,Cabbage,519,92,791,589
